"Dev fold";" Tune set";" Parameters";" Tune loss";"Precise_loss"
2;0;" {'lr': 0.0006464285714285715, 'num_layers': 8, 'dropout': 0.21428571428571427, 'mask_prob': 0.11499999999999998, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}";0,0007;"0.0006575498999537606"
2;1;" {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.46499999999999997, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}";0,0001;"6.020278918808081e-05"
2;2;" {'lr': 0.0006464285714285715, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 2048}";0,0007;"0.0006529874563535774"
2;3;" {'lr': 0.0003635714285714286, 'num_layers': 8, 'dropout': 0.39285714285714285, 'mask_prob': 0.11499999999999998, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 64}";0,0002;"0.00023915785851912866"
2;4;" {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.07142857142857142, 'mask_prob': 0.045, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 32}";0,0004;"0.00041686877835002775"
2;5;" {'lr': 8.071428571428574e-05, 'num_layers': 1, 'dropout': 0.0, 'mask_prob': 0.01, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 64}";0,0002;"0.00018559850707932033"
2;6;" {'lr': 0.0003635714285714286, 'num_layers': 8, 'dropout': 0.25, 'mask_prob': 0.29, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 1024}";0,0058;"0.005757464639732222"
2;7;" {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.25499999999999995, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 512}";0,0003;"0.00028625917146104927"
2;8;" {'lr': 0.0004342857142857143, 'num_layers': 2, 'dropout': 0.3214285714285714, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}";0,0004;"0.00037388401688076556"
2;9;" {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.3214285714285714, 'mask_prob': 0.07999999999999999, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 112}";0,0072;"0.007227085745207181"
2;10;" {'lr': 0.00022214285714285717, 'num_layers': 1, 'dropout': 0.39285714285714285, 'mask_prob': 0.07999999999999999, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 14}";0,0086;"0.008641155877787816"
2;11;" {'lr': 0.00022214285714285717, 'num_layers': 2, 'dropout': 0.0, 'mask_prob': 0.5, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 512}";0,0037;"0.0037304909814051108"
2;12;" {'lr': 8.071428571428574e-05, 'num_layers': 1, 'dropout': 0.42857142857142855, 'mask_prob': 0.01, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 64}";0,0013;"0.0013023999115256103"
2;13;" {'lr': 0.00015142857142857145, 'num_layers': 8, 'dropout': 0.5, 'mask_prob': 0.5, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}";0,0002;"0.00021173722052481025"
2;14;" {'lr': 0.0005757142857142857, 'num_layers': 8, 'dropout': 0.25, 'mask_prob': 0.25499999999999995, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}";0,0004;"0.0003836864726556661"
2;15;" {'lr': 0.0005757142857142857, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.185, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 28}";0,014;"0.013958010240457952"
2;16;" {'lr': 0.0005757142857142857, 'num_layers': 4, 'dropout': 0.2857142857142857, 'mask_prob': 0.42999999999999994, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}";0,0038;"0.003763478374151562"
2;17;" {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.2857142857142857, 'mask_prob': 0.01, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 256}";0,0003;"0.00029960497187475035"
